comment,sentiment
"The match was so thrilling, loved every moment!",1
"Not a fan of how the game turned out, pretty boring.",0
"What an amazing comeback by the team, truly legendary!",1
"Poor performance, expected much better.",0
"Best IPL season ever, can't wait for next year!",1
"Too many mistakes in the field, very disappointing.",0
"The energy in the stadium was electric, so much fun!",1
"I really didn't enjoy the last few matches, slow and uninteresting.",0
"Fantastic team effort, they deserved the win!",1
"Awful umpiring decisions, totally unfair!",0
